,Team,Position,First Name,Last Name,FPPG,Played,Salary,Game,Opponent,Injury Indicator,Injury Details,Unnamed: 12,Unnamed: 13,Team Total,Percent of Total,Projected Score,Average Score,Factor,Projection,TPG,PPG,BPG,RPG,APG,SPG,Stat Projection,Value
Ramon Sessions,NY,PG,Ramon,Sessions,16.0,4,3500,NY@TOR,TOR,,,,,265.007634215,0.0603756191682,105.25,106.0,0.992924528302,15.9005896226,1.8,5.8,0.25,2.5,3.5,1.0,15.9005896226,220.117623501
Raymond Felton,OKC,PG,Raymond,Felton,15.1928569249,14,3100,OKC@SA,SA,,,,,207.41724032,0.073247801877,99.0,103.1,0.960232783705,14.7210378274,0.6,7.5,0.07,1.5,2.5,0.86,14.7210378274,210.582979023
Reggie Jackson,DET,PG,Reggie,Jackson,29.0785718645,14,5900,DET@IND,IND,,,,,237.771489343,0.122296293575,104.0,105.7,0.983916745506,28.6235572375,2.3,15.6,0.0,3.4,5.8,1.0,28.6235572375,206.123926214
Robin Lopez,CHI,C,Robin,Lopez,25.6833343506,12,5200,CHA@CHI,CHA,,,,,227.81729755,0.112736542075,96.0,92.4,1.03896103896,26.7094805195,1.8,13.7,1.08,5.5,2.2,0.25,26.7094805195,194.687425546
Rudy Gay,SA,SF,Rudy,Gay,24.0,15,4900,OKC@SA,OKC,,,,,245.169696268,0.0978913804002,99.0,101.5,0.975369458128,23.4486699507,1.6,12.0,0.53,5.3,1.6,1.07,23.4486699507,208.967076184
Russell Westbrook,OKC,PG,Russell,Westbrook,46.0571419852,14,10000,OKC@SA,SA,,,,,207.41724032,0.222050693154,99.0,103.1,0.960232783705,44.2735402522,4.8,20.3,0.14,8.1,9.6,2.0,44.2735402522,225.868542318
Salah Mejri,DAL,C,Salah,Mejri,15.1818181818,11,3300,MIN@DAL,MIN,,,,,202.587226742,0.0749396614286,103.0,98.9,1.04145601618,15.7145601618,0.7,3.4,1.73,5.0,0.4,0.27,15.7145601618,209.996332448
Serge Ibaka,TOR,PF,Serge,Ibaka,22.9769240159,13,4900,NY@TOR,NY,,,,,208.770890494,0.110058083105,113.25,111.4,1.01660682226,23.2496454219,1.1,12.5,1.08,5.5,0.5,0.31,23.2496454219,210.755902341
Skal Labissiere,SAC,PF,Skal,Labissiere,17.4214281355,14,3700,POR@SAC,POR,,,,,216.209448404,0.080576627266,96.0,93.6,1.02564102564,17.8325641026,1.1,9.1,0.57,4.1,0.6,0.64,17.8325641026,207.485585288
Stanley Johnson,DET,SF,Stanley,Johnson,17.5454545455,11,4200,DET@IND,IND,,,,,237.771489343,0.0737912463514,104.0,105.7,0.983916745506,17.4149952696,0.7,7.9,0.09,3.2,1.5,1.36,17.4149952696,241.171469471
Taj Gibson,MIN,PF,Taj,Gibson,24.8857138497,14,4900,MIN@DAL,DAL,,,,,221.173053773,0.1125169338,109.5,108.0,1.01388888889,25.2056944444,1.3,10.1,0.57,7.7,1.3,1.07,25.2056944444,194.400515756
Thaddeus Young,IND,PF,Thaddeus,Young,27.1333333333,15,5800,DET@IND,DET,,,,,245.871457778,0.110355767109,105.5,108.5,0.972350230415,26.5292626728,1.3,13.0,0.4,6.0,1.5,1.6,26.5292626728,218.626505815
Tim Hardaway Jr.,NY,SG,Tim,Hardaway Jr.,29.6214294434,14,6800,NY@TOR,TOR,,,,,265.007634215,0.111775758956,105.25,106.0,0.992924528302,29.5637971698,1.6,17.8,0.14,4.4,3.1,1.07,29.5637971698,230.011049019
Tobias Harris,DET,PF,Tobias,Harris,29.2571432931,14,6700,DET@IND,IND,,,,,237.771489343,0.123047314772,104.0,105.7,0.983916745506,28.8091863765,0.9,19.6,0.21,4.9,1.7,0.5,28.8091863765,232.564707397
Trevor Booker,BKN,PF,Trevor,Booker,22.0899993896,10,4800,UTA@BKN,UTA,,,,,232.694453612,0.0949313533122,103.5,110.0,0.940909090909,20.7787727273,1.9,11.0,0.2,7.2,1.7,0.4,20.7787727273,231.004981045
Tyler Johnson,MIA,PG,Tyler,Johnson,19.9076913687,13,4600,MIA@WAS,WAS,,,,,254.00050643,0.0783765814034,101.5,101.3,1.00197433366,19.9624185587,0.9,10.3,0.85,2.6,2.0,0.62,19.9624185587,230.433000213
Tyler Zeller,BKN,C,Tyler,Zeller,15.633333842,6,3400,UTA@BKN,UTA,,,,,232.694453612,0.0671839556091,103.5,110.0,0.940909090909,14.8046818182,0.7,9.0,0.67,3.2,0.3,0.33,14.8046818182,229.657080223
Victor Oladipo,IND,SG,Victor,Oladipo,36.8800008138,15,7700,DET@IND,DET,,,,,245.871457778,0.149997080373,105.5,108.5,0.972350230415,35.9232258065,3.2,23.2,0.73,4.4,3.6,1.33,35.9232258065,214.346006717
Wesley Matthews,DAL,SG,Wesley,Matthews,21.6133341471,15,5100,MIN@DAL,MIN,,,,,202.587226742,0.106686559141,103.0,98.9,1.04145601618,22.3975631951,1.7,11.2,0.07,3.4,2.8,1.2,22.3975631951,227.703342349
Will Barton,DEN,SG,Will,Barton,29.1428571429,14,6200,NO@DEN,NO,,,,,205.636111358,0.141720522482,112.5,105.8,1.06332703214,30.7884026465,1.6,14.9,0.36,5.4,3.1,1.21,30.7884026465,201.37452635
Willie Cauley-Stein,SAC,C,Willie,Cauley-Stein,21.6142861503,14,4100,POR@SAC,POR,,,,,216.209448404,0.0999692025939,96.0,93.6,1.02564102564,22.0433333333,1.2,8.2,0.93,5.6,2.1,0.64,22.0433333333,185.997278089
Willie Reed,LAC,C,Willie,Reed,13.3230766883,13,3000,LAC@CLE,CLE,,,,,185.437435986,0.0718467477586,108.0,107.2,1.00746268657,13.5001492537,0.5,7.1,0.46,3.9,0.2,0.15,13.5001492537,222.219765398
Wilson Chandler,DEN,SF,Wilson,Chandler,18.6357138497,14,4600,NO@DEN,NO,,,,,205.636111358,0.0906247143398,112.5,105.8,1.06332703214,19.6563232514,1.5,8.5,0.36,4.1,2.7,0.5,19.6563232514,234.021385442
Yogi Ferrell,DAL,PG,Yogi,Ferrell,18.6199991862,15,4000,MIN@DAL,MIN,,,,,202.587226742,0.0919110226524,103.0,98.9,1.04145601618,19.1698786653,1.3,10.1,0.13,2.5,2.2,1.0,19.1698786653,208.660684287
Zach Randolph,SAC,PF,Zach,Randolph,23.4250005086,12,5000,POR@SAC,POR,,,,,216.209448404,0.108344018643,96.0,93.6,1.02564102564,24.0702564103,2.3,13.0,0.17,6.1,1.8,0.75,24.0702564103,207.725248738
